ProviderNPI,predicted_specialty_id_1,number_of_predicted_specialties,etl_provider_key,provider_npi,specialty_1_probability_value,predicted_specialty_id_2,specialty_2_probability_value,predicted_specialty_id_3,specialty_3_probability_value,customer_provided_specialty_desc,npi_reg_primary_taxonomy_code,used_cust_specialty_flg
473560,6,1,,,,,,,,,,
948113,6,1,,,,,,,,,,
86987,6,1,,,,,,,,,,
652606,6,1,,,,,,,,,,
184831,6,1,,,,,,,,,,
199542,6,1,,,,,,,,,,
339463,6,1,,,,,,,,,,
552958,6,1,,,,,,,,,,
423230,6,1,,,,,,,,,,
148935,6,1,,,,,,,,,,
838484,6,1,,,,,,,,,,
694624,6,1,,,,,,,,,,
285035,6,1,,,,,,,,,,
183170,6,1,,,,,,,,,,
238794,6,1,,,,,,,,,,
867759,6,1,,,,,,,,,,
889305,6,1,,,,,,,,,,
548371,6,1,,,,,,,,,,
957181,6,1,,,,,,,,,,
251011,6,1,,,,,,,,,,
79921,6,1,,,,,,,,,,
252484,6,1,,,,,,,,,,
637389,6,1,,,,,,,,,,
866725,6,1,,,,,,,,,,
308636,6,1,,,,,,,,,,
197020,6,1,,,,,,,,,,
489232,6,1,,,,,,,,,,
304881,6,1,,,,,,,,,,
575024,6,1,,,,,,,,,,
844113,6,1,,,,,,,,,,
691582,6,1,,,,,,,,,,
745051,6,1,,,,,,,,,,
272622,6,1,,,,,,,,,,
242954,6,1,,,,,,,,,,
291362,6,1,,,,,,,,,,
516900,6,1,,,,,,,,,,
922882,6,1,,,,,,,,,,
65256,6,1,,,,,,,,,,
186724,6,1,,,,,,,,,,
923762,6,1,,,,,,,,,,
199124,6,1,,,,,,,,,,
22188,6,1,,,,,,,,,,
151007,6,1,,,,,,,,,,
839861,6,1,,,,,,,,,,
492334,6,1,,,,,,,,,,
102932,6,1,,,,,,,,,,
845868,6,1,,,,,,,,,,
295951,6,1,,,,,,,,,,
48722,6,1,,,,,,,,,,
107385,6,1,,,,,,,,,,
651949,6,1,,,,,,,,,,
359117,6,1,,,,,,,,,,
402297,6,1,,,,,,,,,,
168171,6,1,,,,,,,,,,
895115,6,1,,,,,,,,,,
370782,6,1,,,,,,,,,,
993726,6,1,,,,,,,,,,
71721,6,1,,,,,,,,,,
146604,6,1,,,,,,,,,,
715578,6,1,,,,,,,,,,
726294,6,1,,,,,,,,,,
856027,6,1,,,,,,,,,,
117911,6,1,,,,,,,,,,
591978,6,1,,,,,,,,,,
301759,6,1,,,,,,,,,,
851052,6,1,,,,,,,,,,
